region,metric,label,bucket,latest_value,datapoints
us-west-2,objects,lsmc-dayoa-staging-usw2 AllStorageTypes NumberOfObjects,lsmc-dayoa-staging-usw2 AllStorageTypes NumberOfObjects,56018.0,2
us-west-2,objects,lsmc-dewey-0 AllStorageTypes NumberOfObjects,lsmc-dewey-0 AllStorageTypes NumberOfObjects,228.0,2
us-west-2,objects,lsmc-docs-public-108782052779-us-west-2 AllStorageTypes NumberOfObjects,lsmc-docs-public-108782052779-us-west-2 AllStorageTypes NumberOfObjects,4523.0,2
us-west-2,objects,lsmc-healthomics-results AllStorageTypes NumberOfObjects,lsmc-healthomics-results AllStorageTypes NumberOfObjects,1.0,2
us-west-2,objects,lsmc-illumina-public-data AllStorageTypes NumberOfObjects,lsmc-illumina-public-data AllStorageTypes NumberOfObjects,36.0,2
us-west-2,objects,lsmc-meridian-governance-registry AllStorageTypes NumberOfObjects,lsmc-meridian-governance-registry AllStorageTypes NumberOfObjects,2.0,2
us-west-2,objects,lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2 AllStorageTypes NumberOfObjects,lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2 AllStorageTypes NumberOfObjects,22.0,2
us-west-2,objects,lsmc-mvp-v1-labcore-ui-108782052779-us-west-2 AllStorageTypes NumberOfObjects,lsmc-mvp-v1-labcore-ui-108782052779-us-west-2 AllStorageTypes NumberOfObjects,542.0,2
us-west-2,objects,lsmc-public-ont-data AllStorageTypes NumberOfObjects,lsmc-public-ont-data AllStorageTypes NumberOfObjects,2474.0,2
us-west-2,objects,lsmc-ssf-sequencing-data AllStorageTypes NumberOfObjects,lsmc-ssf-sequencing-data AllStorageTypes NumberOfObjects,5503555.0,2
us-west-2,objects,lsmc-terraform-state AllStorageTypes NumberOfObjects,lsmc-terraform-state AllStorageTypes NumberOfObjects,116.0,2
us-west-2,objects,parallelcluster-4da281c1dc024f1c-v1-do-not-delete AllStorageTypes NumberOfObjects,parallelcluster-4da281c1dc024f1c-v1-do-not-delete AllStorageTypes NumberOfObjects,96.0,2
us-west-2,objects,terrarium-dev-media AllStorageTypes NumberOfObjects,terrarium-dev-media AllStorageTypes NumberOfObjects,22.0,2
us-west-2,objects,terrarium-dev-web AllStorageTypes NumberOfObjects,terrarium-dev-web AllStorageTypes NumberOfObjects,44.0,2
us-west-2,objects,terrarium-prod-media AllStorageTypes NumberOfObjects,terrarium-prod-media AllStorageTypes NumberOfObjects,54.0,2
us-west-2,objects,terrarium-prod-web AllStorageTypes NumberOfObjects,terrarium-prod-web AllStorageTypes NumberOfObjects,44.0,2
us-west-2,objects,terrarium-tfstate-dev AllStorageTypes NumberOfObjects,terrarium-tfstate-dev AllStorageTypes NumberOfObjects,109.0,2
us-west-2,objects,terrarium-tfstate-prod AllStorageTypes NumberOfObjects,terrarium-tfstate-prod AllStorageTypes NumberOfObjects,65.0,2
us-west-2,objects,ursa-us-west-2-052779-default-customer-1d8c14 AllStorageTypes NumberOfObjects,ursa-us-west-2-052779-default-customer-1d8c14 AllStorageTypes NumberOfObjects,2.0,2
us-west-2,objects,zebra-day-cfg-us-west-2 AllStorageTypes NumberOfObjects,zebra-day-cfg-us-west-2 AllStorageTypes NumberOfObjects,98.0,2
us-west-2,bytes,aquarium-tfstate-dev StandardStorage BucketSizeBytes,aquarium-tfstate-dev StandardStorage BucketSizeBytes,1758388.0,2
us-west-2,bytes,aquarium-tfstate-prod StandardStorage BucketSizeBytes,aquarium-tfstate-prod StandardStorage BucketSizeBytes,793805.0,2
us-west-2,bytes,asterism-note-screenshots-dev StandardStorage BucketSizeBytes,asterism-note-screenshots-dev StandardStorage BucketSizeBytes,2348524.0,2
us-west-2,bytes,cdk-hnb659fds-assets-108782052779-us-west-2 StandardStorage BucketSizeBytes,cdk-hnb659fds-assets-108782052779-us-west-2 StandardStorage BucketSizeBytes,6834610.0,2
us-west-2,bytes,lsmc-atlas-demo StandardStorage BucketSizeBytes,lsmc-atlas-demo StandardStorage BucketSizeBytes,230214.0,2
us-west-2,bytes,lsmc-atlas-dev StandardStorage BucketSizeBytes,lsmc-atlas-dev StandardStorage BucketSizeBytes,3342818.0,2
us-west-2,bytes,lsmc-aws-config-108782052779 StandardStorage BucketSizeBytes,lsmc-aws-config-108782052779 StandardStorage BucketSizeBytes,1800949123.0,2
us-west-2,bytes,lsmc-copy-ultimagen-lsmc-cro-316 StandardStorage BucketSizeBytes,lsmc-copy-ultimagen-lsmc-cro-316 StandardStorage BucketSizeBytes,2224905817555.0,2
us-west-2,bytes,lsmc-datalake-raw-dev StandardStorage BucketSizeBytes,lsmc-datalake-raw-dev StandardStorage BucketSizeBytes,25.0,2
us-west-2,bytes,lsmc-dayoa-analysis-results-usw2 StandardStorage BucketSizeBytes,lsmc-dayoa-analysis-results-usw2 StandardStorage BucketSizeBytes,272984251653.0,2
us-west-2,bytes,lsmc-dayoa-control-data-usw2 StandardStorage BucketSizeBytes,lsmc-dayoa-control-data-usw2 StandardStorage BucketSizeBytes,11309828544153.0,2
us-west-2,bytes,lsmc-dayoa-omics-analysis-us-west-2 StandardStorage BucketSizeBytes,lsmc-dayoa-omics-analysis-us-west-2 StandardStorage BucketSizeBytes,67540807528923.0,2
us-west-2,bytes,lsmc-dayoa-references-usw2 StandardStorage BucketSizeBytes,lsmc-dayoa-references-usw2 StandardStorage BucketSizeBytes,811014856573.0,2
us-west-2,bytes,lsmc-dayoa-runtime-assets-usw2 StandardStorage BucketSizeBytes,lsmc-dayoa-runtime-assets-usw2 StandardStorage BucketSizeBytes,43196731108.0,2
us-west-2,bytes,lsmc-dayoa-staging-usw2 StandardStorage BucketSizeBytes,lsmc-dayoa-staging-usw2 StandardStorage BucketSizeBytes,12146306411379.0,2
us-west-2,bytes,lsmc-dewey-0 StandardStorage BucketSizeBytes,lsmc-dewey-0 StandardStorage BucketSizeBytes,1154910256.0,2
us-west-2,bytes,lsmc-docs-public-108782052779-us-west-2 StandardStorage BucketSizeBytes,lsmc-docs-public-108782052779-us-west-2 StandardStorage BucketSizeBytes,172492378.0,2
us-west-2,bytes,lsmc-healthomics-results StandardStorage BucketSizeBytes,lsmc-healthomics-results StandardStorage BucketSizeBytes,32.0,2
us-west-2,bytes,lsmc-illumina-public-data StandardStorage BucketSizeBytes,lsmc-illumina-public-data StandardStorage BucketSizeBytes,135812476212.0,2
us-west-2,bytes,lsmc-meridian-governance-registry StandardStorage BucketSizeBytes,lsmc-meridian-governance-registry StandardStorage BucketSizeBytes,89.0,2
us-west-2,bytes,lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2 StandardStorage BucketSizeBytes,lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2 StandardStorage BucketSizeBytes,40996.0,2
us-west-2,bytes,lsmc-mvp-v1-labcore-ui-108782052779-us-west-2 StandardStorage BucketSizeBytes,lsmc-mvp-v1-labcore-ui-108782052779-us-west-2 StandardStorage BucketSizeBytes,38782827.0,2
us-west-2,bytes,lsmc-public-ont-data StandardStorage BucketSizeBytes,lsmc-public-ont-data StandardStorage BucketSizeBytes,6161726825240.0,2
us-west-2,bytes,lsmc-ssf-sequencing-data IntelligentTieringFAStorage BucketSizeBytes,lsmc-ssf-sequencing-data IntelligentTieringFAStorage BucketSizeBytes,2028570589999.0,2
us-west-2,bytes,lsmc-ssf-sequencing-data StandardStorage BucketSizeBytes,lsmc-ssf-sequencing-data StandardStorage BucketSizeBytes,237715718142207.0,2
us-west-2,bytes,lsmc-terraform-state StandardStorage BucketSizeBytes,lsmc-terraform-state StandardStorage BucketSizeBytes,6586839.0,2
us-west-2,bytes,parallelcluster-4da281c1dc024f1c-v1-do-not-delete StandardStorage BucketSizeBytes,parallelcluster-4da281c1dc024f1c-v1-do-not-delete StandardStorage BucketSizeBytes,7243735.0,2
us-west-2,bytes,terrarium-dev-media StandardStorage BucketSizeBytes,terrarium-dev-media StandardStorage BucketSizeBytes,7591216.0,2
us-west-2,bytes,terrarium-dev-web StandardStorage BucketSizeBytes,terrarium-dev-web StandardStorage BucketSizeBytes,4874982.0,2
us-west-2,bytes,terrarium-prod-media StandardStorage BucketSizeBytes,terrarium-prod-media StandardStorage BucketSizeBytes,35523911.0,2
us-west-2,bytes,terrarium-prod-web StandardStorage BucketSizeBytes,terrarium-prod-web StandardStorage BucketSizeBytes,4875022.0,2
us-west-2,bytes,terrarium-tfstate-dev StandardStorage BucketSizeBytes,terrarium-tfstate-dev StandardStorage BucketSizeBytes,13276449.0,2
us-west-2,bytes,terrarium-tfstate-prod StandardStorage BucketSizeBytes,terrarium-tfstate-prod StandardStorage BucketSizeBytes,7952708.0,2
us-west-2,bytes,ursa-us-west-2-052779-default-customer-1d8c14 StandardStorage BucketSizeBytes,ursa-us-west-2-052779-default-customer-1d8c14 StandardStorage BucketSizeBytes,29289687.0,2
us-west-2,bytes,zebra-day-cfg-us-west-2 StandardStorage BucketSizeBytes,zebra-day-cfg-us-west-2 StandardStorage BucketSizeBytes,131458.0,2
