Sample	SampleID	AnalysisUnitUID	entity_scope	declared_grain	tool	tool_code	VariantClass	InputSample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	Deduper	SNVCaller
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.SNPts.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	SNPts	HG002-bq765db79mczvn	2542242843.0	2539963503.0	2405.0	2276935.0	586.0	0.9993436271152445	0.9989448700062299	0.9999997692880768	0.00025729729824664627	0.9997427027017534	0.9997427027017534	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.SNPtv.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	SNPtv	HG002-bq765db79mczvn	2542242843.0	2541157210.0	1166.0	1084467.0	385.0	0.9992854131680245	0.9989259722208149	0.999999848494245	0.0003548871182428571	0.9996451128817572	0.9996451128817572	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.INS_50.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	INS_50	HG002-bq765db79mczvn	2542242843.0	2541982022.0	446.0	260375.0	230.0	0.9987035552504093	0.9982900149911241	0.9999999095194312	0.0008825617313558834	0.9991174382686441	0.9991174382686441	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.INS_gt50.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	INS_gt50	HG002-bq765db79mczvn	2542242843.0	2542242827.0	10.0	6.0	0.0	0.5454545454545454	0.375	1.0	0.0	1.0	1.0	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.DEL_50.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	DEL_50	HG002-bq765db79mczvn	2542242843.0	2541978504.0	348.0	263991.0	145.0	0.9990671271110271	0.9986835086763588	0.9999999429578215	0.0005489596268588909	0.9994510403731411	0.9994510403731411	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.DEL_gt50.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	DEL_gt50	HG002-bq765db79mczvn	2542242843.0	2542242839.0	0.0	4.0	1.0	0.888888888888889	1.0	0.9999999996066465	0.2	0.8	0.8	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.Indel_50.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	Indel_50	HG002-bq765db79mczvn	2542242843.0	2542242533.0	0.0	310.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.Indel_gt50.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	Indel_gt50	HG002-bq765db79mczvn	2542242843.0	2542242843.0	0.0	0.0	0.0			1.0				HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
HG002-bq765db79mczvn.sentmm2ont.na.sentdhiomr2.giabHC.All.giab	HG002	HG002-bq765db79mczvn	analysis_unit_roi_variant_class	analysis_unit_caller_roi_variant_class	RTG vcfeval	rtg	All	HG002-bq765db79mczvn	2542242843.0	2538352380.0	4375.0	3886088.0	1347.0	0.9992643256571377	0.9988754551836119	0.9999994693410986	0.00034650097043423234	0.9996534990295658	0.9996534990295658	HG002	giabHC	-1	-2	sentmm2ont	na	sentdhiomr2
