time_start,time_end,estimated,amount_usd,service,tag_lsmc_project,tag_lsmc_project_value
2026-03-16,2026-04-01,False,0.0,AWS CloudFormation,lsmc-project$,
2026-03-16,2026-04-01,False,0.3705480431,AWS Cost Explorer,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,AWS Glue,lsmc-project$,
2026-03-16,2026-04-01,False,1.548387072,AWS Key Management Service,lsmc-project$,
2026-03-16,2026-04-01,False,1.63e-07,AWS Lambda,lsmc-project$,
2026-03-16,2026-04-01,False,3.0051807267,AWS Secrets Manager,lsmc-project$,
2026-03-16,2026-04-01,False,98.2604380874,AWS Security Hub,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,AWS Service Catalog,lsmc-project$,
2026-03-16,2026-04-01,False,1.62e-07,AWS Step Functions,lsmc-project$,
2026-03-16,2026-04-01,False,10.866514104,AWS WAF,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,AWS X-Ray,lsmc-project$,
2026-03-16,2026-04-01,False,3.50307e-05,Amazon CloudFront,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,Amazon Cognito,lsmc-project$,
2026-03-16,2026-04-01,False,0.0067420982,Amazon DynamoDB,lsmc-project$,
2026-03-16,2026-04-01,False,0.1777561881,Amazon EC2 Container Registry (ECR),lsmc-project$,
2026-03-16,2026-04-01,False,395.9627186279,EC2 - Other,lsmc-project$,
2026-03-16,2026-04-01,False,744.1555648471,Amazon Elastic Compute Cloud - Compute,lsmc-project$,
2026-03-16,2026-04-01,False,9.4912876413,Amazon Elastic Container Service,lsmc-project$,
2026-03-16,2026-04-01,False,23.2480381051,Amazon Elastic Load Balancing,lsmc-project$,
2026-03-16,2026-04-01,False,793.0163059125,Amazon FSx,lsmc-project$,
2026-03-16,2026-04-01,False,2.41e-07,Amazon Glacier,lsmc-project$,
2026-03-16,2026-04-01,False,5.7538310848,Amazon GuardDuty,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,Amazon Inspector,lsmc-project$,
2026-03-16,2026-04-01,False,205.8208699052,Amazon Relational Database Service,lsmc-project$,
2026-03-16,2026-04-01,False,2.0882864,Amazon Route 53,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,Amazon Simple Notification Service,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,Amazon Simple Queue Service,lsmc-project$,
2026-03-16,2026-04-01,False,483.2036923466,Amazon Simple Storage Service,lsmc-project$,
2026-03-16,2026-04-01,False,53.348532143,Amazon Virtual Private Cloud,lsmc-project$,
2026-03-16,2026-04-01,False,1.1110101947,AmazonCloudWatch,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,CloudWatch Events,lsmc-project$,
2026-03-16,2026-04-01,False,0.0,Tax,lsmc-project$,
2026-04-01,2026-05-01,False,0.0,AWS Certificate Manager,lsmc-project$,
