time_start,time_end,estimated,amount_usd,service,tag_aws_parallelcluster_clustername,tag_aws_parallelcluster_clustername_value
2026-03-16,2026-04-01,False,0.85983194,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,1.1110101947,AmazonCloudWatch,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-03-16,2026-04-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,0.0,CloudWatch Events,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0,Tax,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,AWS Certificate Manager,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,AWS CloudFormation,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.9391166236,AWS Cost Explorer,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,AWS Glue,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,3.000000024,AWS Key Management Service,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,1.3567e-06,AWS Lambda,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,4.4352410308,AWS Secrets Manager,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,91.6659815437,AWS Security Hub,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,AWS Service Catalog,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,1.8823e-06,AWS Step Functions,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,261.0595463814,AWS Support (Developer),aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,8.0212293499,AWS WAF,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,1.282e-07,Amazon CloudFront,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.14175,Amazon Cognito,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0001662146,Amazon DynamoDB,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.000873125,Amazon DynamoDB,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,0.0003986875,Amazon DynamoDB,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.00049075,Amazon DynamoDB,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.0010585625,Amazon DynamoDB,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,0.0052024375,Amazon DynamoDB,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.0027385,Amazon DynamoDB,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
