time_start,time_end,estimated,amount_usd,service,tag_project,tag_project_value
2026-03-16,2026-04-01,False,0.0,AWS CloudFormation,project$,
2026-03-16,2026-04-01,False,0.3705480431,AWS Cost Explorer,project$,
2026-03-16,2026-04-01,False,0.0,AWS Glue,project$,
2026-03-16,2026-04-01,False,1.548387072,AWS Key Management Service,project$,
2026-03-16,2026-04-01,False,1.63e-07,AWS Lambda,project$,
2026-03-16,2026-04-01,False,3.0051807267,AWS Secrets Manager,project$,
2026-03-16,2026-04-01,False,98.2604380874,AWS Security Hub,project$,
2026-03-16,2026-04-01,False,0.0,AWS Service Catalog,project$,
2026-03-16,2026-04-01,False,1.62e-07,AWS Step Functions,project$,
2026-03-16,2026-04-01,False,10.866514104,AWS WAF,project$,
2026-03-16,2026-04-01,False,0.0,AWS X-Ray,project$,
2026-03-16,2026-04-01,False,3.50307e-05,Amazon CloudFront,project$,
2026-03-16,2026-04-01,False,0.0,Amazon Cognito,project$,
2026-03-16,2026-04-01,False,0.0067420982,Amazon DynamoDB,project$,
2026-03-16,2026-04-01,False,0.1777561881,Amazon EC2 Container Registry (ECR),project$,
2026-03-16,2026-04-01,False,395.9627186279,EC2 - Other,project$,
2026-03-16,2026-04-01,False,744.1555648471,Amazon Elastic Compute Cloud - Compute,project$,
2026-03-16,2026-04-01,False,9.4912876413,Amazon Elastic Container Service,project$,
2026-03-16,2026-04-01,False,23.2480381051,Amazon Elastic Load Balancing,project$,
2026-03-16,2026-04-01,False,793.0163059125,Amazon FSx,project$,
2026-03-16,2026-04-01,False,2.41e-07,Amazon Glacier,project$,
2026-03-16,2026-04-01,False,5.7538310848,Amazon GuardDuty,project$,
2026-03-16,2026-04-01,False,0.0,Amazon Inspector,project$,
2026-03-16,2026-04-01,False,205.8208699052,Amazon Relational Database Service,project$,
2026-03-16,2026-04-01,False,2.0882864,Amazon Route 53,project$,
2026-03-16,2026-04-01,False,0.0,Amazon Simple Notification Service,project$,
2026-03-16,2026-04-01,False,0.0,Amazon Simple Queue Service,project$,
2026-03-16,2026-04-01,False,483.2036923466,Amazon Simple Storage Service,project$,
2026-03-16,2026-04-01,False,53.348532143,Amazon Virtual Private Cloud,project$,
2026-03-16,2026-04-01,False,1.1110101947,AmazonCloudWatch,project$,
2026-03-16,2026-04-01,False,0.0,CloudWatch Events,project$,
2026-03-16,2026-04-01,False,0.0,Tax,project$,
2026-04-01,2026-05-01,False,0.0,AWS Certificate Manager,project$,
2026-04-01,2026-05-01,False,0.0,AWS CloudFormation,project$,
2026-04-01,2026-05-01,False,0.9391166236,AWS Cost Explorer,project$,
2026-04-01,2026-05-01,False,0.0,AWS Glue,project$,
