RUNTIME_ANALYSIS_UNIT_UID	RUNTIME_ANALYSIS_UNIT_UID_ALGORITHM	SOURCE_ANALYSIS_UNIT_UID	SAMPLEID	SPECIMEN_ID	ORDERED_LIBRARY_IDS	CANONICAL_ANALYSIS_UNIT_ID
HG002-082hc3dnbehb1c	external-sample-id+crockford-sha256-70/v1	140975029	HG002	HG002	HG002-ILMN,HG002-ONT	HG002-HG002-HG002-ILMN-HG002-ONT-140975029
HG002-98xq4xrqz7dwy9	external-sample-id+crockford-sha256-70/v1	173489894	HG002	HG002	HG002-ILMN,HG002-ONT	HG002-HG002-HG002-ILMN-HG002-ONT-173489894
HG002-871vyxbnp4n81v	external-sample-id+crockford-sha256-70/v1	334438742	HG002	HG002	HG002-ILMN,HG002-ONT	HG002-HG002-HG002-ILMN-HG002-ONT-334438742
HG002-vqs89p8gahfwf9	external-sample-id+crockford-sha256-70/v1	375111773	HG002	HG002	HG002-ILMN,HG002-ONT	HG002-HG002-HG002-ILMN-HG002-ONT-375111773
HG002-fjg1n22920ymw4	external-sample-id+crockford-sha256-70/v1	635656666	HG002	HG002	HG002-ILMN,HG002-ONT	HG002-HG002-HG002-ILMN-HG002-ONT-635656666
HG002-bq765db79mczvn	external-sample-id+crockford-sha256-70/v1	673958549	HG002	HG002	HG002-ILMN,HG002-ONT	HG002-HG002-HG002-ILMN-HG002-ONT-673958549
HG002-f277f1cckvy1xb	external-sample-id+crockford-sha256-70/v1	702620916	HG002	HG002	HG002-ILMN,HG002-ONT	HG002-HG002-HG002-ILMN-HG002-ONT-702620916
