analysis_id	size_kib	source_path	destination_s3_uri
ccv_dryrun_illumina_snv_alignstats_20260609T083613Z	606741	/fsx/analysis_results/ubuntu/ccv_dryrun_illumina_snv_alignstats_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_illumina_snv_alignstats_20260609T083613Z/
ccv_dryrun_illumina_snv_alignstats_relatedness_vep_multiqc_20260609T063015Z	605846	/fsx/analysis_results/ubuntu/ccv_dryrun_illumina_snv_alignstats_relatedness_vep_multiqc_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_illumina_snv_alignstats_relatedness_vep_multiqc_20260609T063015Z/
ccv_dryrun_illumina_snv_alignstats_relatedness_vep_multiqc_20260609T083613Z	606014	/fsx/analysis_results/ubuntu/ccv_dryrun_illumina_snv_alignstats_relatedness_vep_multiqc_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_illumina_snv_alignstats_relatedness_vep_multiqc_20260609T083613Z/
ccv_dryrun_inflection-bjuice-product-v0.1_20260609T063015Z	605704	/fsx/analysis_results/ubuntu/ccv_dryrun_inflection-bjuice-product-v0.1_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_inflection-bjuice-product-v0.1_20260609T063015Z/
ccv_dryrun_inflection-bjuice-product-v0.1_20260609T083613Z	606832	/fsx/analysis_results/ubuntu/ccv_dryrun_inflection-bjuice-product-v0.1_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_inflection-bjuice-product-v0.1_20260609T083613Z/
ccv_dryrun_ont_run_qc_20260609T063015Z	605438	/fsx/analysis_results/ubuntu/ccv_dryrun_ont_run_qc_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ont_run_qc_20260609T063015Z/
ccv_dryrun_ont_run_qc_20260609T083613Z	605802	/fsx/analysis_results/ubuntu/ccv_dryrun_ont_run_qc_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ont_run_qc_20260609T083613Z/
ccv_dryrun_ont_snv_alignstats_20260609T063015Z	605704	/fsx/analysis_results/ubuntu/ccv_dryrun_ont_snv_alignstats_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ont_snv_alignstats_20260609T063015Z/
ccv_dryrun_ont_snv_alignstats_20260609T083613Z	605872	/fsx/analysis_results/ubuntu/ccv_dryrun_ont_snv_alignstats_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ont_snv_alignstats_20260609T083613Z/
ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T063015Z	605704	/fsx/analysis_results/ubuntu/ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T063015Z/
ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T082907Z	605768	/fsx/analysis_results/ubuntu/ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T082907Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T082907Z/
ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T083613Z	605872	/fsx/analysis_results/ubuntu/ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ont_snv_alignstats_kitchensink_20260609T083613Z/
ccv_dryrun_pacbio_snv_alignstats_20260609T063015Z	605704	/fsx/analysis_results/ubuntu/ccv_dryrun_pacbio_snv_alignstats_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_pacbio_snv_alignstats_20260609T063015Z/
ccv_dryrun_pacbio_snv_alignstats_20260609T083613Z	607336	/fsx/analysis_results/ubuntu/ccv_dryrun_pacbio_snv_alignstats_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_pacbio_snv_alignstats_20260609T083613Z/
ccv_dryrun_roche_snv_alignstats_20260609T063015Z	605704	/fsx/analysis_results/ubuntu/ccv_dryrun_roche_snv_alignstats_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_roche_snv_alignstats_20260609T063015Z/
ccv_dryrun_roche_snv_alignstats_20260609T083613Z	605872	/fsx/analysis_results/ubuntu/ccv_dryrun_roche_snv_alignstats_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_roche_snv_alignstats_20260609T083613Z/
ccv_dryrun_simple-test_20260609T063015Z	605458	/fsx/analysis_results/ubuntu/ccv_dryrun_simple-test_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_simple-test_20260609T063015Z/
ccv_dryrun_simple-test_20260609T083613Z	605618	/fsx/analysis_results/ubuntu/ccv_dryrun_simple-test_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_simple-test_20260609T083613Z/
ccv_dryrun_ultima_run_qc_20260609T063015Z	604713	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_run_qc_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_run_qc_20260609T063015Z/
ccv_dryrun_ultima_run_qc_20260609T083613Z	604750	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_run_qc_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_run_qc_20260609T083613Z/
ccv_dryrun_ultima_run_qc_20260609T101303Z	605802	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_run_qc_20260609T101303Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_run_qc_20260609T101303Z/
ccv_dryrun_ultima_snv_alignstats_20260609T063015Z	605711	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_snv_alignstats_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_snv_alignstats_20260609T063015Z/
ccv_dryrun_ultima_snv_alignstats_20260609T083613Z	607351	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_snv_alignstats_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_snv_alignstats_20260609T083613Z/
ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T063015Z	604680	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T063015Z/
ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T082907Z	605711	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T082907Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T082907Z/
ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T083613Z	605871	/fsx/analysis_results/ubuntu/ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_ultima_snv_alignstats_kitchensink_20260609T083613Z/
ilmn_hg002_hg003_30x_oldhg38_solo_concordance_20260610T030657Z	94957350	/fsx/analysis_results/ubuntu/ilmn_hg002_hg003_30x_oldhg38_solo_concordance_20260610T030657Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ilmn_hg002_hg003_30x_oldhg38_solo_concordance_20260610T030657Z/
ont_hg003_5x_current_model_concordance_20260610T031836Z	2680415	/fsx/analysis_results/ubuntu/ont_hg003_5x_current_model_concordance_20260610T031836Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ont_hg003_5x_current_model_concordance_20260610T031836Z/
ont_hg003_5x_old_model_concordance_20260610T031836Z	2680202	/fsx/analysis_results/ubuntu/ont_hg003_5x_old_model_concordance_20260610T031836Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ont_hg003_5x_old_model_concordance_20260610T031836Z/
pg_ilmn_hg002_hg003_30x_latest_ilmn_model_20260610T025238Z	14066578	/fsx/analysis_results/ubuntu/pg_ilmn_hg002_hg003_30x_latest_ilmn_model_20260610T025238Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/pg_ilmn_hg002_hg003_30x_latest_ilmn_model_20260610T025238Z/
pg_ilmn_hg002_hg003_30x_pangenome_concordance_20260609T200121Z	11722876	/fsx/analysis_results/ubuntu/pg_ilmn_hg002_hg003_30x_pangenome_concordance_20260609T200121Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/pg_ilmn_hg002_hg003_30x_pangenome_concordance_20260609T200121Z/
pg_ultima_hg003_30x_pangenome_concordance_20260609T193111Z	608227	/fsx/analysis_results/ubuntu/pg_ultima_hg003_30x_pangenome_concordance_20260609T193111Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/pg_ultima_hg003_30x_pangenome_concordance_20260609T193111Z/
pg_ultima_hg003_30x_pangenome_concordance_20260609T194248Z	5467201	/fsx/analysis_results/ubuntu/pg_ultima_hg003_30x_pangenome_concordance_20260609T194248Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/pg_ultima_hg003_30x_pangenome_concordance_20260609T194248Z/
pg_ultima_hg003_30x_pangenome_multiqc_kitchensink_20260610T093038Z	19275902	/fsx/analysis_results/ubuntu/pg_ultima_hg003_30x_pangenome_multiqc_kitchensink_20260610T093038Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/pg_ultima_hg003_30x_pangenome_multiqc_kitchensink_20260610T093038Z/
