artifact	relative_path	bytes	sha256	s3_uri
Final MultiQC HTML	daylily-omics-analysis/results/day/hg38/reports/DAY_final_multiqc.html	12196815	a61c9dca9e3a1d81b6c60bf656204e5461f94489752deaefede5c97d8666f55c	s3://lsmc-ssf-sequencing-data/derived/preval-hiomr2/take101/daylily-omics-analysis/results/day/hg38/reports/DAY_final_multiqc.html
Final MultiQC data JSON	daylily-omics-analysis/results/day/hg38/reports/DAY_final_multiqc_data/multiqc_data.json	18523045	e95634427983612827a99bdf78999fc8abf5c3ece0f7a02e21968b318f0233ce	s3://lsmc-ssf-sequencing-data/derived/preval-hiomr2/take101/daylily-omics-analysis/results/day/hg38/reports/DAY_final_multiqc_data/multiqc_data.json
Final benchmark summary	daylily-omics-analysis/results/day/hg38/reports/benchmarks_summary.tsv	132798	2372228b27453861b128575b40fa4ba78a72bfcbfd8d2a19d92444d4cbc650fd	s3://lsmc-ssf-sequencing-data/derived/preval-hiomr2/take101/daylily-omics-analysis/results/day/hg38/reports/benchmarks_summary.tsv
DayOA evidence manifest	daylily-omics-analysis/results/day/hg38/reports/dayoa_evidence_manifest.json	584931	29802174d7134db6e00651756d913a1407b2f353c5ca8e3181f32bf377246d21	s3://lsmc-ssf-sequencing-data/derived/preval-hiomr2/take101/daylily-omics-analysis/results/day/hg38/reports/dayoa_evidence_manifest.json
HG002 Inflection package manifest	daylily-omics-analysis/results/day/hg38/deliveries/inflection_hiomr2_analytical_callsets_vcf_gvcf/take101/HG002-ck2ky6p4wk6exh/package_manifest.json	26292	4987c454b568352b6d2c0d5e76fb163f4f2f509f87b42fbfe4d26d3c7daf7e9a	s3://lsmc-ssf-sequencing-data/derived/preval-hiomr2/take101/daylily-omics-analysis/results/day/hg38/deliveries/inflection_hiomr2_analytical_callsets_vcf_gvcf/take101/HG002-ck2ky6p4wk6exh/package_manifest.json
NA23687 Inflection package manifest	daylily-omics-analysis/results/day/hg38/deliveries/inflection_hiomr2_analytical_callsets_vcf_gvcf/take101/NA23687-zsvw0fa30jhz3n/package_manifest.json	26517	a5dcbffd3be753fcc9d5b88446634d6538fbbb98873a88735eecf02e1108bd57	s3://lsmc-ssf-sequencing-data/derived/preval-hiomr2/take101/daylily-omics-analysis/results/day/hg38/deliveries/inflection_hiomr2_analytical_callsets_vcf_gvcf/take101/NA23687-zsvw0fa30jhz3n/package_manifest.json
