variant_class	fscore	sensitivity_recall	precision	tp	fp	fn	roi	caller	cli_gvcf_metric_parity
SNPts	0.9993631646721857	0.9989742649300829	0.9997523673288207	2277003	564	2338	giabHC	sentdhiomr2	true
SNPtv	0.9992946361478934	0.998946237866537	0.9996432775328448	1084490	387	1144	giabHC	sentdhiomr2	true
INS_50	0.9986882127089941	0.9982708513852359	0.9991059231631134	260371	233	451	giabHC	sentdhiomr2	true
INS_gt50	0.5454545454545454	0.375	1.0	6	0	10	giabHC	sentdhiomr2	true
DEL_50	0.9990538760804735	0.9986721495666516	0.9994358945236338	263986	149	351	giabHC	sentdhiomr2	true
DEL_gt50	1.0	1.0	1.0	4	0	0	giabHC	sentdhiomr2	true
Indel_50	1.0	1.0	1.0	310	0	0	giabHC	sentdhiomr2	true
Indel_gt50				0	0	0	giabHC	sentdhiomr2	true
All	0.9992765461720268	0.998896275611341	0.9996571063739372	3886170	1333	4294	giabHC	sentdhiomr2	true
