template_group,templates,instance_type,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f,us-east-2a,us-east-2b,us-east-2c,us-west-1a,us-west-1b,us-west-2a,us-west-2b,us-west-2c,us-west-2d
intel,intel,r6i.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r6i.metal,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r6id.2xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,r6id.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,r6id.metal,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,r7i.2xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r7i.48xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r7i.metal-48xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r8i.2xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r8i.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r8i.48xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r8i.metal-48xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,r8id.96xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,r8id.metal-96xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,r8idb.96xlarge,Y,Y,NOT_OFFERED,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,NOT_OFFERED
intel,intel,r8idn.96xlarge,Y,Y,NOT_OFFERED,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,NOT_OFFERED
intel,intel,x2idn.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,NOT_OFFERED
intel,intel,x2idn.metal,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,NOT_OFFERED
intel,intel,x2iedn.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,NOT_OFFERED
intel,intel,x2iedn.metal,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,NOT_OFFERED
intel,intel,x8i.2xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,x8i.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,x8i.48xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,x8i.metal-48xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
