kind	name	source	destination	completed_utc
conda	c2e451114a625144ab03840e398ea712_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/c2e451114a625144ab03840e398ea712_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/c2e451114a625144ab03840e398ea712_/	2026-08-10T07:58:43Z
conda	c9170b1232ccf7ec20f43ced852fb8c2_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/c9170b1232ccf7ec20f43ced852fb8c2_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/c9170b1232ccf7ec20f43ced852fb8c2_/	2026-08-10T08:01:15Z
conda	caa10c232eb19f6543aa45820fda8f74_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/caa10c232eb19f6543aa45820fda8f74_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/caa10c232eb19f6543aa45820fda8f74_/	2026-08-10T08:06:52Z
conda	cba901145cdb176cc8ee56f2aac12b87_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/cba901145cdb176cc8ee56f2aac12b87_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/cba901145cdb176cc8ee56f2aac12b87_/	2026-08-10T08:36:08Z
conda	ccc71549f5b9bbb8371ee8cfe43bf60c_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/ccc71549f5b9bbb8371ee8cfe43bf60c_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/ccc71549f5b9bbb8371ee8cfe43bf60c_/	2026-08-10T08:47:50Z
conda	cda71b1de49e4d37d9611dd7d2715e4b_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/cda71b1de49e4d37d9611dd7d2715e4b_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/cda71b1de49e4d37d9611dd7d2715e4b_/	2026-08-10T08:55:00Z
conda	ce665216e6cf27f7dd1729335b653c5b_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/ce665216e6cf27f7dd1729335b653c5b_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/ce665216e6cf27f7dd1729335b653c5b_/	2026-08-10T09:29:11Z
conda	d4b04c8d5d3069cacc630f531de5d173_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/d4b04c8d5d3069cacc630f531de5d173_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/d4b04c8d5d3069cacc630f531de5d173_/	2026-08-10T09:31:51Z
conda	d64dacd09ba579b5d7cacdfc400033c5_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/d64dacd09ba579b5d7cacdfc400033c5_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/d64dacd09ba579b5d7cacdfc400033c5_/	2026-08-10T09:33:41Z
conda	d8d3b1575e41db2f7ea52b3fb3531258_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/d8d3b1575e41db2f7ea52b3fb3531258_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/d8d3b1575e41db2f7ea52b3fb3531258_/	2026-08-10T09:42:52Z
conda	dccc9356e3c60edb825fa3a21a2296ae_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/dccc9356e3c60edb825fa3a21a2296ae_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/dccc9356e3c60edb825fa3a21a2296ae_/	2026-08-10T09:45:58Z
conda	df47ac2d26fef6f0eace26f819bda392_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/df47ac2d26fef6f0eace26f819bda392_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/df47ac2d26fef6f0eace26f819bda392_/	2026-08-10T10:00:19Z
conda	e64cde7284147387e31d87ada68f2d1c_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/e64cde7284147387e31d87ada68f2d1c_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/e64cde7284147387e31d87ada68f2d1c_/	2026-08-10T10:27:13Z
conda	ec5a7de2ea751bbceef716fb67d26c3a_	s3://lsmc-ssf-sequencing-data/derived/validation/prod-cand-260809-init-test-x2-20260810/cache-promotion/20260810T055725Z/cached_envs/conda/ec5a7de2ea751bbceef716fb67d26c3a_/	s3://lsmc-dayoa-references-usw2/runtime_assets/cached_envs/conda/ec5a7de2ea751bbceef716fb67d26c3a_/	2026-08-10T10:29:30Z
