observation_id	experiment	analysis_id	au	runtime_au	plot_label	ilmn_measured_token	ont_measured_token	roi	class	tp	fn	fp	precision	recall	fscore	source_path
OBS12	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	10x5	HG002-fjg1n22920ymw4	E1:10x5	13.65	9.67	giabHC	INS_50	260364.0	463.0	232.0	0.9991097330734163	0.998224877025768	0.9986671090458226	results/day/hg38/HG002-fjg1n22920ymw4/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-fjg1n22920ymw4_giabHC_concordance.mqc.tsv
OBS12	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	10x5	HG002-fjg1n22920ymw4	E1:10x5	13.65	9.67	giabHC	DEL_50	263960.0	376.0	158.0	0.9994017825365935	0.998577567943829	0.9989895052360281	results/day/hg38/HG002-fjg1n22920ymw4/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-fjg1n22920ymw4_giabHC_concordance.mqc.tsv
OBS14	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x5	HG002-bq765db79mczvn	E1:15x5	14.01	11.43	giabHC	SNP	2819168.5	2988.0	778.5	0.9997239309816816	0.9989412351866384	0.9993324298286979	results/day/hg38/HG002-bq765db79mczvn/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-bq765db79mczvn_giabHC_concordance.mqc.tsv
OBS14	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x5	HG002-bq765db79mczvn	E1:15x5	14.01	11.43	giabHC	INS_50	260375.0	446.0	230.0	0.9991174382686441	0.9982900149911241	0.9987035552504093	results/day/hg38/HG002-bq765db79mczvn/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-bq765db79mczvn_giabHC_concordance.mqc.tsv
OBS14	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x5	HG002-bq765db79mczvn	E1:15x5	14.01	11.43	giabHC	DEL_50	263991.0	348.0	145.0	0.9994510403731411	0.9986835086763588	0.9990671271110271	results/day/hg38/HG002-bq765db79mczvn/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-bq765db79mczvn_giabHC_concordance.mqc.tsv
OBS13	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x10	HG002-f277f1cckvy1xb	E1:15x10	13.65	9.67	giabHC	SNP	2818839.5	3315.5	828.5	0.9997061710811344	0.9988251885527195	0.9992654856417863	results/day/hg38/HG002-f277f1cckvy1xb/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-f277f1cckvy1xb_giabHC_concordance.mqc.tsv
OBS13	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x10	HG002-f277f1cckvy1xb	E1:15x10	13.65	9.67	giabHC	INS_50	260364.0	463.0	232.0	0.9991097330734163	0.998224877025768	0.9986671090458226	results/day/hg38/HG002-f277f1cckvy1xb/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-f277f1cckvy1xb_giabHC_concordance.mqc.tsv
OBS13	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x10	HG002-f277f1cckvy1xb	E1:15x10	13.65	9.67	giabHC	DEL_50	263960.0	376.0	158.0	0.9994017825365935	0.998577567943829	0.9989895052360281	results/day/hg38/HG002-f277f1cckvy1xb/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-f277f1cckvy1xb_giabHC_concordance.mqc.tsv
OBS01	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	p5xp5	HG002-5r2pnnjbw114ye	E2:p5xp5	0.11	0.57	giabHC	SNP	529743.0	2292646.0	3961.0	0.9925782830932502	0.1876931209695049	0.3156902982128326	results/day/hg38/HG002-5r2pnnjbw114ye/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-5r2pnnjbw114ye_giabHC_concordance.mqc.tsv
OBS01	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	p5xp5	HG002-5r2pnnjbw114ye	E2:p5xp5	0.11	0.57	giabHC	INS_50	49649.0	209579.0	5645.0	0.8979093572539516	0.19152637832332928	0.3157108246799906	results/day/hg38/HG002-5r2pnnjbw114ye/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-5r2pnnjbw114ye_giabHC_concordance.mqc.tsv
