period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,APS3-DataTransfer-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-DataTransfer-Out-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-DataTransfer-Regional-Bytes,1.31e-08,False
2026-02-20,2026-03-01,APS3-EBS:SnapshotUsage,0.7741516113,False
2026-02-20,2026-03-01,APS3-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,APS3-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,APS3-EU-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-EUC1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-EUN1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-EUW2-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-EUW3-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-FreeComplianceCheck,0.0,False
2026-02-20,2026-03-01,APS3-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,APS3-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,APS3-MEC1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-MES1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-MIA1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-NatGateway-Bytes,5.6332e-06,False
2026-02-20,2026-03-01,APS3-NatGateway-Hours,24.192,False
2026-02-20,2026-03-01,APS3-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,APS3-PublicIPv4:InUseAddress,2.16,False
2026-02-20,2026-03-01,APS3-Requests-Tier1,9e-05,False
2026-02-20,2026-03-01,APS3-Requests-Tier2,1.44e-05,False
2026-02-20,2026-03-01,APS3-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,APS3-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,APS3-Tables-Requests-Tier1,9e-05,False
