arn,cluster_or_stack_present,console_url,created_at,details,id,kind,name,name_present,project_present,region,service,state,tag_count,tag_keys,tag_status,tags
arn:aws:rds:us-west-2:108782052779:db:terrarium-prod-db,False,https://us-west-2.console.aws.amazon.com/rds/home?region=us-west-2#database:id=terrarium-prod-db;is-cluster=false,2026-02-11T18:15:21.081Z,"{'allocated_storage_gib': 20, 'class': 'db.t4g.micro', 'engine': 'postgres'}",terrarium-prod-db,rds_instance,terrarium-prod-db,False,True,us-west-2,RDS,available,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'prod', 'Project': 'terrarium'}"
arn:aws:rds:us-west-2:108782052779:cluster:dayhoff-lsmcok1-tapdb,True,https://us-west-2.console.aws.amazon.com/rds/home?region=us-west-2#database:id=dayhoff-lsmcok1-tapdb;is-cluster=true,2026-05-19T07:22:52.881Z,"{'engine': 'aurora-postgresql', 'members': 1}",dayhoff-lsmcok1-tapdb,rds_cluster,dayhoff-lsmcok1-tapdb,False,True,us-west-2,RDS,available,7,"['Environment', 'Owner', 'Project', 'System', 'aws:cloudformation:logical-id', 'aws:cloudformation:stack-id', 'aws:cloudformation:stack-name']",missing_name,"{'Environment': 'lsmcok1', 'Owner': 'platform', 'Project': 'LSMC', 'System': 'dayhoff', 'aws:cloudformation:logical-id': 'DatabaseCluster', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-lsmcok1-Data/80940010-5353-11f1-84e9-0679063ee0d5', 'aws:cloudformation:stack-name': 'Dayhoff-lsmcok1-Data'}"
arn:aws:rds:us-west-2:108782052779:cluster:dayhoff-lsmcq7-tapdb,True,https://us-west-2.console.aws.amazon.com/rds/home?region=us-west-2#database:id=dayhoff-lsmcq7-tapdb;is-cluster=true,2026-05-17T12:50:11.918Z,"{'engine': 'aurora-postgresql', 'members': 3}",dayhoff-lsmcq7-tapdb,rds_cluster,dayhoff-lsmcq7-tapdb,False,True,us-west-2,RDS,available,10,"['CostCenter', 'Environment', 'Owner', 'Project', 'System', 'aws:cloudformation:logical-id', 'aws:cloudformation:stack-id', 'aws:cloudformation:stack-name', 'lsmc-cost-center', 'lsmc-project']",missing_name,"{'CostCenter': 'platform', 'Environment': 'lsmcq7', 'Owner': 'platform', 'Project': 'LSMC', 'System': 'dayhoff', 'aws:cloudformation:logical-id': 'AuroraCluster', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-lsmcq7-Data/c931b3a0-51ee-11f1-835f-061daeca8d2f', 'aws:cloudformation:stack-name': 'Dayhoff-lsmcq7-Data', 'lsmc-cost-center': 'platform', 'lsmc-project': 'dayhoff+us-west-2'}"
arn:aws:rds:us-west-2:108782052779:cluster:dev,True,https://us-west-2.console.aws.amazon.com/rds/home?region=us-west-2#database:id=dev;is-cluster=true,2026-03-03T04:54:50.955Z,"{'engine': 'aurora-postgresql', 'members': 1}",dev,rds_cluster,dev,False,True,us-west-2,RDS,available,5,"['aws:cloudformation:logical-id', 'aws:cloudformation:stack-id', 'aws:cloudformation:stack-name', 'lsmc-cost-center', 'lsmc-project']",missing_name,"{'aws:cloudformation:logical-id': 'AuroraCluster', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-west-2:108782052779:stack/tapdb-dev/13b49db0-16bd-11f1-ac4f-02ee9e12c98f', 'aws:cloudformation:stack-name': 'tapdb-dev', 'lsmc-cost-center': 'global', 'lsmc-project': 'tapdb-us-west-2'}"
arn:aws:rds:us-west-2:108782052779:cluster:labcore-dev,False,https://us-west-2.console.aws.amazon.com/rds/home?region=us-west-2#database:id=labcore-dev;is-cluster=true,2026-05-20T23:09:19.716Z,"{'engine': 'aurora-postgresql', 'members': 1}",labcore-dev,rds_cluster,labcore-dev,False,False,us-west-2,RDS,available,0,[],completely_untagged,{}
arn:aws:rds:us-west-2:108782052779:cluster:staging,True,https://us-west-2.console.aws.amazon.com/rds/home?region=us-west-2#database:id=staging;is-cluster=true,2026-05-12T00:36:50.838Z,"{'engine': 'aurora-postgresql', 'members': 1}",staging,rds_cluster,staging,False,True,us-west-2,RDS,available,5,"['aws:cloudformation:logical-id', 'aws:cloudformation:stack-id', 'aws:cloudformation:stack-name', 'lsmc-cost-center', 'lsmc-project']",missing_name,"{'aws:cloudformation:logical-id': 'AuroraCluster', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-west-2:108782052779:stack/tapdb-staging/a149d9b0-4d9a-11f1-9577-0a57bdb61851', 'aws:cloudformation:stack-name': 'tapdb-staging', 'lsmc-cost-center': 'global', 'lsmc-project': 'tapdb-us-west-2'}"
arn:aws:elasticloadbalancing:us-west-2:108782052779:loadbalancer/app/lsmc-mvp-dev-alb/e86b7b9ac25ed9d8,False,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#LoadBalancer:loadBalancerArn=arn%3Aaws%3Aelasticloadbalancing%3Aus-west-2%3A108782052779%3Aloadbalancer%2Fapp%2Flsmc-mvp-dev-alb%2Fe86b7b9ac25ed9d8,2026-05-21T13:44:14.384Z,"{'scheme': 'internet-facing', 'type': 'application'}",lsmc-mvp-dev-alb,load_balancer,lsmc-mvp-dev-alb,False,False,us-west-2,ELBv2,active,0,[],completely_untagged,{}
arn:aws:ecs:us-west-2:108782052779:cluster/terrarium-dev-cluster,False,https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/terrarium-dev-cluster/services?region=us-west-2,,"{'active_services_count': 1, 'running_tasks_count': 1}",terrarium-dev-cluster,ecs_cluster,terrarium-dev-cluster,False,True,us-west-2,ECS,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Project': 'terrarium'}"
arn:aws:ecs:us-west-2:108782052779:cluster/terrarium-prod-cluster,False,https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/terrarium-prod-cluster/services?region=us-west-2,,"{'active_services_count': 1, 'running_tasks_count': 1}",terrarium-prod-cluster,ecs_cluster,terrarium-prod-cluster,False,True,us-west-2,ECS,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'prod', 'Project': 'terrarium'}"
arn:aws:ecs:us-west-2:108782052779:cluster/aquarium-dev-cluster,False,https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/aquarium-dev-cluster/services?region=us-west-2,,"{'active_services_count': 1, 'running_tasks_count': 1}",aquarium-dev-cluster,ecs_cluster,aquarium-dev-cluster,False,True,us-west-2,ECS,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Project': 'aquarium'}"
