period_start,period_end,key,amount_usd,estimated
2026-04-01,2026-05-01,Amazon Glacier,2.6714e-06,False
2026-04-01,2026-05-01,Amazon GuardDuty,15.268142109,False
2026-04-01,2026-05-01,Amazon Inspector,0.0,False
2026-04-01,2026-05-01,Amazon Registrar,130.0,False
2026-04-01,2026-05-01,Amazon Relational Database Service,497.9875161126,False
2026-04-01,2026-05-01,Amazon Route 53,14.3503452,False
2026-04-01,2026-05-01,Amazon Simple Notification Service,0.0,False
2026-04-01,2026-05-01,Amazon Simple Queue Service,0.0,False
2026-04-01,2026-05-01,Amazon Simple Storage Service,1479.5929508039,False
2026-04-01,2026-05-01,Amazon Virtual Private Cloud,119.2068503224,False
2026-04-01,2026-05-01,AmazonCloudWatch,4.8825031081,False
2026-04-01,2026-05-01,CloudWatch Events,0.0,False
2026-04-01,2026-05-01,Tax,0.0,False
2026-05-01,2026-05-21,AWS CloudFormation,0.0,True
2026-05-01,2026-05-21,AWS CloudTrail,0.607729,True
2026-05-01,2026-05-21,AWS Cost Explorer,3.1695464515,True
2026-05-01,2026-05-21,AWS Glue,0.0,True
2026-05-01,2026-05-21,AWS Key Management Service,1.515069922,True
2026-05-01,2026-05-21,AWS Lambda,3.1398e-06,True
2026-05-01,2026-05-21,AWS Secrets Manager,3.567302341,True
2026-05-01,2026-05-21,AWS Security Hub,117.1507310995,True
2026-05-01,2026-05-21,AWS Service Catalog,0.0,True
2026-05-01,2026-05-21,AWS Step Functions,1.4809e-06,True
2026-05-01,2026-05-21,AWS Support (Developer),436.8854558532,True
2026-05-01,2026-05-21,AWS WAF,4.51612896,True
2026-05-01,2026-05-21,Amazon CloudFront,0.0,True
2026-05-01,2026-05-21,Amazon Cognito,0.02925,True
2026-05-01,2026-05-21,Amazon DynamoDB,0.0273813715,True
2026-05-01,2026-05-21,Amazon EC2 Container Registry (ECR),0.4053433664,True
2026-05-01,2026-05-21,EC2 - Other,553.4957046254,True
2026-05-01,2026-05-21,Amazon Elastic Compute Cloud - Compute,7590.4591357162,True
2026-05-01,2026-05-21,Amazon Elastic Container Service,35.5760512789,True
2026-05-01,2026-05-21,Amazon Elastic File System,4.6512e-05,True
2026-05-01,2026-05-21,Amazon Elastic Load Balancing,10.8,True
2026-05-01,2026-05-21,Amazon FSx,3863.4024821075,True
2026-05-01,2026-05-21,Amazon Glacier,2.1082e-06,True
2026-05-01,2026-05-21,Amazon GuardDuty,14.1993946039,True
2026-05-01,2026-05-21,Amazon Inspector,0.0,True
2026-05-01,2026-05-21,Amazon Relational Database Service,666.4556701764,True
2026-05-01,2026-05-21,Amazon Route 53,13.43973,True
2026-05-01,2026-05-21,Amazon Simple Notification Service,3.0177e-06,True
2026-05-01,2026-05-21,Amazon Simple Queue Service,0.0,True
2026-05-01,2026-05-21,Amazon Simple Storage Service,1841.1256610674,True
2026-05-01,2026-05-21,Amazon Virtual Private Cloud,84.0587710418,True
2026-05-01,2026-05-21,AmazonCloudWatch,44.4833161136,True
2026-05-01,2026-05-21,CloudWatch Events,0.0,True
2026-05-01,2026-05-21,Tax,0.0,True
