ANALYSIS_UNIT_UID	ANALYSIS_UNIT_EUID	SAMPLEID	DELIVERY_EUID	DELIVERY_PROFILE	CUSTOMER_DELIVERY_ID	SUBSAMPLE_PCT	ONT_SUBSAMPLE_PCT	ALIGNED_REF_UID	BWA_KMER	DEEP_MODEL	MERGE_SINGLE	ANALYSIS_UNIT_COMMENT
JEM-HG003-4-HIOMR2-TAKE4-HG003-HIOMRS		HG003		local					19	WGS	single	Generated JEM-HG003-4-HIOMR2-TAKE4 HIOMRS analysis for HG003; SR downsample full; ONT downsample full
JEM-HG003-4-HIOMR2-TAKE4-HG004-HIOMRS		HG004		local					19	WGS	single	Generated JEM-HG003-4-HIOMR2-TAKE4 HIOMRS analysis for HG004; SR downsample full; ONT downsample full
