status	bucket	key	size	last_modified	error
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG004-c_S12_R2_001.fastq.gz	41225460587	2026-05-29T08:45:40.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG005-a_S13_R1_001.fastq.gz	43636206771	2026-05-29T09:13:32.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG005-a_S13_R2_001.fastq.gz	44412690748	2026-05-29T10:19:54.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG005-b_S14_R1_001.fastq.gz	36530302292	2026-05-29T09:11:44.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG005-b_S14_R2_001.fastq.gz	37364034840	2026-05-29T10:17:21.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG005-c_S15_R1_001.fastq.gz	37523761690	2026-05-29T07:12:01.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG005-c_S15_R2_001.fastq.gz	38457421125	2026-05-29T08:44:48.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG006-a_S16_R1_001.fastq.gz	41402027336	2026-05-29T10:32:21.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG006-a_S16_R2_001.fastq.gz	42696239951	2026-05-29T10:19:52.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG006-b_S17_R1_001.fastq.gz	38530558468	2026-05-29T10:18:13.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG006-b_S17_R2_001.fastq.gz	39505492904	2026-05-29T10:20:37.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG006-c_S18_R1_001.fastq.gz	40238554780	2026-05-29T10:35:22.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG006-c_S18_R2_001.fastq.gz	41347379588	2026-05-29T11:38:50.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG007-a_S19_R1_001.fastq.gz	36686620334	2026-05-29T10:33:01.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG007-a_S19_R2_001.fastq.gz	37615870879	2026-05-29T10:17:09.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG007-b_S20_R1_001.fastq.gz	33671697944	2026-05-29T07:41:15.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG007-b_S20_R2_001.fastq.gz	34932555957	2026-05-29T10:21:28.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG007-c_S21_R1_001.fastq.gz	40538481007	2026-05-29T09:11:29.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG007-c_S21_R2_001.fastq.gz	41475333771	2026-05-29T08:45:36.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA00232-SMN_S46_R1_001.fastq.gz	40957861653	2026-05-29T10:40:23.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA00232-SMN_S46_R2_001.fastq.gz	42168686123	2026-05-29T10:21:37.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA03986-DMPK_S48_R1_001.fastq.gz	34494365821	2026-05-29T08:43:12.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA03986-DMPK_S48_R2_001.fastq.gz	36200117444	2026-05-29T10:17:19.000Z	
ok	lsmc-ssf-sequencing-data	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA05164-DMPK_S49_R1_001.fastq.gz	32339962781	2026-05-29T10:22:49.000Z	
