time_start,time_end,estimated,amount_usd,service,tag_lsmc_project,tag_lsmc_project_value
2026-04-01,2026-05-01,False,0.0,CloudWatch Events,lsmc-project$,
2026-04-01,2026-05-01,False,0.0,Tax,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,AWS Certificate Manager,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,AWS CloudFormation,lsmc-project$,
2026-05-01,2026-06-01,False,32.533505,AWS CloudTrail,lsmc-project$,
2026-05-01,2026-06-01,False,60.8757636451,AWS Cost Explorer,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,AWS Glue,lsmc-project$,
2026-05-01,2026-06-01,False,2.934997566,AWS Key Management Service,lsmc-project$,
2026-05-01,2026-06-01,False,6.3428e-06,AWS Lambda,lsmc-project$,
2026-05-01,2026-06-01,False,5.7212617122,AWS Secrets Manager,lsmc-project$,
2026-05-01,2026-06-01,False,0.1003393405,AWS Secrets Manager,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,0.0451962896,AWS Secrets Manager,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-05-01,2026-06-01,False,0.0073828029,AWS Secrets Manager,lsmc-project$dayhoff-ddev80,dayhoff-ddev80
2026-05-01,2026-06-01,False,0.0904225792,AWS Secrets Manager,lsmc-project$tapdb-us-east-1,tapdb-us-east-1
2026-05-01,2026-06-01,False,0.0903925792,AWS Secrets Manager,lsmc-project$tapdb-us-west-2,tapdb-us-west-2
2026-05-01,2026-06-01,False,191.551362364,AWS Security Hub,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,AWS Service Catalog,lsmc-project$,
2026-05-01,2026-06-01,False,2.284e-06,AWS Step Functions,lsmc-project$,
2026-05-01,2026-06-01,False,680.902151147,AWS Support (Developer),lsmc-project$,
2026-05-01,2026-06-01,False,6.999999888,AWS WAF,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,Amazon CloudFront,lsmc-project$,
2026-05-01,2026-06-01,False,0.02925,Amazon Cognito,lsmc-project$,
2026-05-01,2026-06-01,False,0.0380672189,Amazon DynamoDB,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,Amazon DynamoDB,lsmc-project$zebra-day+us-west-2,zebra-day+us-west-2
2026-05-01,2026-06-01,False,0.6906851222,Amazon EC2 Container Registry (ECR),lsmc-project$,
2026-05-01,2026-06-01,False,0.0133329433,Amazon EC2 Container Registry (ECR),lsmc-project$dayhoff-inf9,dayhoff-inf9
2026-05-01,2026-06-01,False,1143.817499333,EC2 - Other,lsmc-project$,
2026-05-01,2026-06-01,False,8.1146939199,EC2 - Other,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,3.7952194805,EC2 - Other,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-05-01,2026-06-01,False,0.6324663425,EC2 - Other,lsmc-project$dayhoff-ddev80,dayhoff-ddev80
2026-05-01,2026-06-01,False,0.0500546193,EC2 - Other,lsmc-project$dayhoff-ddev81,dayhoff-ddev81
2026-05-01,2026-06-01,False,0.0025213979,EC2 - Other,lsmc-project$dayhoff-ddev89,dayhoff-ddev89
2026-05-01,2026-06-01,False,0.0025281308,EC2 - Other,lsmc-project$dayhoff-ddev92,dayhoff-ddev92
2026-05-01,2026-06-01,False,0.0025538459,EC2 - Other,lsmc-project$dayhoff-ddev94,dayhoff-ddev94
2026-05-01,2026-06-01,False,0.0025234265,EC2 - Other,lsmc-project$dayhoff-ddev96,dayhoff-ddev96
2026-05-01,2026-06-01,False,0.0025525281,EC2 - Other,lsmc-project$dayhoff-inf10,dayhoff-inf10
2026-05-01,2026-06-01,False,0.0025569429,EC2 - Other,lsmc-project$dayhoff-inf11,dayhoff-inf11
2026-05-01,2026-06-01,False,0.002614407,EC2 - Other,lsmc-project$dayhoff-inf9,dayhoff-inf9
2026-05-01,2026-06-01,False,11093.9709716891,Amazon Elastic Compute Cloud - Compute,lsmc-project$,
