time_start,time_end,estimated,amount_usd,service,tag_project,tag_project_value
2026-05-01,2026-06-01,False,191.551362364,AWS Security Hub,project$,
2026-05-01,2026-06-01,False,0.0,AWS Service Catalog,project$,
2026-05-01,2026-06-01,False,2.284e-06,AWS Step Functions,project$,
2026-05-01,2026-06-01,False,680.902151147,AWS Support (Developer),project$,
2026-05-01,2026-06-01,False,6.999999888,AWS WAF,project$,
2026-05-01,2026-06-01,False,0.0,Amazon CloudFront,project$,
2026-05-01,2026-06-01,False,0.02925,Amazon Cognito,project$,
2026-05-01,2026-06-01,False,0.0380672189,Amazon DynamoDB,project$,
2026-05-01,2026-06-01,False,0.7040180655,Amazon EC2 Container Registry (ECR),project$,
2026-05-01,2026-06-01,False,1156.4277843743,EC2 - Other,project$,
2026-05-01,2026-06-01,False,11205.6624602906,Amazon Elastic Compute Cloud - Compute,project$,
2026-05-01,2026-06-01,False,55.1299283869,Amazon Elastic Container Service,project$,
2026-05-01,2026-06-01,False,7.24317e-05,Amazon Elastic File System,project$,
2026-05-01,2026-06-01,False,25.2091283305,Amazon Elastic Load Balancing,project$,
2026-05-01,2026-06-01,False,4675.5496062546,Amazon FSx,project$,
2026-05-01,2026-06-01,False,3.2412e-06,Amazon Glacier,project$,
2026-05-01,2026-06-01,False,20.8700168735,Amazon GuardDuty,project$,
2026-05-01,2026-06-01,False,0.0,Amazon Inspector,project$,
2026-05-01,2026-06-01,False,2029.0941517157,Amazon Relational Database Service,project$,
2026-05-01,2026-06-01,False,14.752048,Amazon Route 53,project$,
2026-05-01,2026-06-01,False,6.2797e-06,Amazon Simple Notification Service,project$,
2026-05-01,2026-06-01,False,0.0,Amazon Simple Queue Service,project$,
2026-05-01,2026-06-01,False,3643.1147737754,Amazon Simple Storage Service,project$,
2026-05-01,2026-06-01,False,135.8671375624,Amazon Virtual Private Cloud,project$,
2026-05-01,2026-06-01,False,81.9202940286,AmazonCloudWatch,project$,
2026-05-01,2026-06-01,False,0.0,CloudWatch Events,project$,
2026-05-01,2026-06-01,False,0.0,Tax,project$,
2026-06-01,2026-06-19,True,0.0,AWS CloudFormation,project$,
2026-06-01,2026-06-19,True,124.86978,AWS CloudTrail,project$,
2026-06-01,2026-06-19,True,244.5372646666,AWS Cost Explorer,project$,
2026-06-01,2026-06-19,True,0.0,AWS Glue,project$,
2026-06-01,2026-06-19,True,5.4698956854,AWS Key Management Service,project$,
2026-06-01,2026-06-19,True,3.9319e-06,AWS Lambda,project$,
2026-06-01,2026-06-19,True,4.2189327618,AWS Secrets Manager,project$,
2026-06-01,2026-06-19,True,0.6228717156,AWS Secrets Manager,project$dayhoff-all,dayhoff-all
2026-06-01,2026-06-19,True,198.7730404691,AWS Security Hub,project$,
2026-06-01,2026-06-19,True,0.0,AWS Service Catalog,project$,
2026-06-01,2026-06-19,True,1.281e-06,AWS Step Functions,project$,
2026-06-01,2026-06-19,True,614.906181015,AWS Support (Developer),project$,
2026-06-01,2026-06-19,True,4.1027778106,AWS WAF,project$,
2026-06-01,2026-06-19,True,3.4e-09,Amazon CloudFront,project$,
