RUNID	SAMPLEID	EXPERIMENTID	LANEID	BARCODEID	LIBPREP	SEQ_VENDOR	SEQ_PLATFORM	ILMN_R1_PATH	ILMN_R2_PATH	PACBIO_R1_PATH	PACBIO_R2_PATH	ONT_R1_PATH	ONT_R2_PATH	UG_R1_PATH	UG_R2_PATH	SUBSAMPLE_PCT	ILMN_TRIM_READ_LENGTH	SAMPLEUSE	BWA_KMER	DEEP_MODEL	ULTIMA_CRAM	ULTIMA_CRAM_ALIGNER	ULTIMA_CRAM_SNV_CALLER	ONT_CRAM	ONT_CRAM_ALIGNER	ONT_CRAM_SNV_CALLER	PB_BAM	PB_BAM_ALIGNER	PB_BAM_SNV_CALLER	ROCHE_BAM	ROCHE_BAM_ALIGNER	ROCHE_BAM_SNV_CALLER	ROCHE_DOWNSAMPLE_RATIO	LONGREADTRIM_READ_LENGTH	LONGREADTRIM_MODE	ULTIMA_SUBSAMPLE_PCT	ONT_SUBSAMPLE_PCT	ONT_BAM	ONT_BAM_ALIGNER	ONT_BAM_SNV_CALLER
20260526-LH01121-0004-B23WW2NLT4	HG003-a	GIAB	all	S7	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-a_S7_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-a_S7_R2_001.fastq.gz							na		posControl	19	WGS																				
20260526-LH01121-0004-B23WW2NLT4	HG003-b	GIAB	all	S8	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-b_S8_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-b_S8_R2_001.fastq.gz							na		posControl	19	WGS																				
20260526-LH01121-0004-B23WW2NLT4	HG003-c	GIAB	all	S9	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-c_S9_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-c_S9_R2_001.fastq.gz							na		posControl	19	WGS																				
20260526-LH01121-0004-B23WW2NLT4	NA00232	SMN	all	S46	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz							na		sample	19	WGS																				
20260526-LH01121-0004-B23WW2NLT4	NA03986	DMPK	all	S48	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz							na		sample	19	WGS																				
20260526-LH01121-0004-B23WW2NLT4	NA05164	DMPK	all	S49	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA05164-DMPK_S49_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA05164-DMPK_S49_R2_001.fastq.gz							na		sample	19	WGS																				
20260526-LH01121-0004-B23WW2NLT4	NA09677	SMN	all	S47	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz							na		sample	19	WGS																				
