shard	seconds	hms	cpu_efficiency	hostname	task_cost	benchmark
0001_tiles0001-0098	716.6102	0:11:56	5.3283	i192mem-dy-all-2	0.157420	run_bclconvert.L003.0001_tiles0001-0098.bench.tsv
0002_tiles0099-0196	639.9787	0:10:39	5.8651	i192mem-dy-all-1	0.140586	run_bclconvert.L003.0002_tiles0099-0196.bench.tsv
0003_tiles0197-0294	597.2271	0:09:57	6.4954	i192mem-dy-all-2	0.131195	run_bclconvert.L003.0003_tiles0197-0294.bench.tsv
0004_tiles0295-0392	710.4900	0:11:50	5.2172	i192mem-dy-all-1	0.156076	run_bclconvert.L003.0004_tiles0295-0392.bench.tsv
0005_tiles0393-0490	661.8164	0:11:01	5.8657	i192mem-dy-all-2	0.145384	run_bclconvert.L003.0005_tiles0393-0490.bench.tsv
0006_tiles0491-0588	707.2956	0:11:47	5.1764	i192mem-dy-all-1	0.155374	run_bclconvert.L003.0006_tiles0491-0588.bench.tsv
0007_tiles0589-0686	645.5680	0:10:45	5.7834	i192mem-dy-all-1	0.141814	run_bclconvert.L003.0007_tiles0589-0686.bench.tsv
0008_tiles0687-0784	640.1860	0:10:40	5.8769	i192mem-dy-all-2	0.140632	run_bclconvert.L003.0008_tiles0687-0784.bench.tsv
